module_code,course_title,industry,industry_others,occupation,other_occupations_title
PR2202,Construction Project Management,Financial and Insurance,,"Others, please provide job title and description",
LSM3223,Entrepreneurship,Financial and Insurance,,"Others, please provide job title and description",
CS2100,The Evolution of a Global City-State,Financial and Insurance,,"Others, please provide job title and description",
IS1105,Visualisation in Design and Technology,Financial and Insurance,,"Others, please provide job title and description",
EE2006,Hydraulics,Financial and Insurance,,"Others, please provide job title and description",
EC3101,Statistics for Life Sciences,Financial and Insurance,,Non Applicable based on skip pattern,
LSM2103,Introduction to Politics,Financial and Insurance,,Non Applicable based on skip pattern,
CL1101E,Separation Processes,Financial and Insurance,,Non Applicable based on skip pattern,
CS1020,English for Academic Purposes,Financial and Insurance,,Non Applicable based on skip pattern,
CM2121,Analytical Chemistry 1,Financial and Insurance,,Non Applicable based on skip pattern,
LSM2103,Introduction to Politics,Financial and Insurance,,Non Applicable based on skip pattern,
MNO1001,Finance,Financial and Insurance,,Non Applicable based on skip pattern,
MA1102R,Southeast Asia: A Changing Region,Financial and Insurance,,Non Applicable based on skip pattern,
NM2201,Korean 1,Financial and Insurance,,General Practitioner/ Physician (Generalist Medical Practitioner),
GE1101E,General Physiology,Financial and Insurance,,General Practitioner/ Physician (Generalist Medical Practitioner),
ME4101,Project,Financial and Insurance,,General Practitioner/ Physician (Generalist Medical Practitioner),
EE2021,Intercultural Communication,Financial and Insurance,,General Practitioner/ Physician (Generalist Medical Practitioner),
EC2303,Science of Music,Financial and Insurance,,General Practitioner/ Physician (Generalist Medical Practitioner),
CFG1001,Einstein's Universe & Quantum Weirdness,Financial and Insurance,,General Practitioner/ Physician (Generalist Medical Practitioner),
EE6999,The Biophysical Environment of Singapore,Financial and Insurance,,General Practitioner/ Physician (Generalist Medical Practitioner),
MA1506,Mathematics II,Financial and Insurance,,General Practitioner/ Physician (Generalist Medical Practitioner),
CM3292,Global Economic Dimensions of Singapore,Financial and Insurance,,"Software, Web and Multimedia Developer",
EC3351,FINANCIAL ACCOUNTING,Financial and Insurance,,"Software, Web and Multimedia Developer",
MA1505,Quantitative Reasoning,Financial and Insurance,,"Software, Web and Multimedia Developer",
CS1010E,Principles of Marketing,Financial and Insurance,,"Software, Web and Multimedia Developer",
CM1101,Process Synthesis and Simulation,Financial and Insurance,,"Software, Web and Multimedia Developer",
CS2106,Econometrics I,Financial and Insurance,,"Software, Web and Multimedia Developer",
ACC1002,B.Eng. Dissertation,Financial and Insurance,,"Software, Web and Multimedia Developer",
PR1101,Health Psychology,Financial and Insurance,,"Software, Web and Multimedia Developer",
GEM2900,General and Physical Chemistry for Engineers,Financial and Insurance,,"Others, please provide job title and description",
MA3252,GRADUATE SEMINARS,Financial and Insurance,,"Others, please provide job title and description",
NM3217,Infrastructure & The Environment,Financial and Insurance,,"Others, please provide job title and description",
CFG1010,Engineering Professionalism,Financial and Insurance,,"Others, please provide job title and description",
GEK1508,Calculus for Computing,Financial and Insurance,,"Others, please provide job title and description",
GE2228,Labour Law In Singapore,Financial and Insurance,,"Others, please provide job title and description",
DP1001,Mathematics I,Financial and Insurance,,"Others, please provide job title and description",
SW2104,Organic Chemistry 1,Financial and Insurance,,"Others, please provide job title and description",
GER1000,Programming Methodology,Financial and Insurance,,"Others, please provide job title and description",
ST2132,Econometrics II,Financial and Insurance,,"Others, please provide job title and description",
GER1000,Programming Methodology,Financial and Insurance,,"Others, please provide job title and description",
LSM2103,Introduction to Politics,Financial and Insurance,,"Others, please provide job title and description",
NM3217,Infrastructure & The Environment,Financial and Insurance,,"Others, please provide job title and description",
MA2213,Fluid Mechanics,Financial and Insurance,,"Others, please provide job title and description",
PR4105,BIOSTATISTICS FOR BASIC RESEARCH,Financial and Insurance,,"Others, please provide job title and description",
CS3243,Dosage Form Design I,Financial and Insurance,,"Others, please provide job title and description",
PL3234,Industrial Attachment Programme,Financial and Insurance,,"Others, please provide job title and description",SOCIAL WORKER
TS1101E,Research and Statistical Methods II,Financial and Insurance,,"Others, please provide job title and description",SOCIAL WORKER
EE2022,Research Methods,Financial and Insurance,,"Others, please provide job title and description",SOCIAL WORKER
MDG5771,Logic,Financial and Insurance,,"Others, please provide job title and description",SOCIAL WORKER
CFG1010,Engineering Professionalism,Financial and Insurance,,"Others, please provide job title and description",SOCIAL WORKER
NM2201,Korean 1,Financial and Insurance,,"Others, please provide job title and description",SOCIAL WORKER
CM3291,Research Methodology in Real Estate,Financial and Insurance,,"Others, please provide job title and description",SOCIAL WORKER
EE2023,Strategic IT Applications,Financial and Insurance,,"Others, please provide job title and description",
CE2134,Pathology,Financial and Insurance,,"Others, please provide job title and description",
SC2211,Graduate Research Seminar and Workshop,Financial and Insurance,,"Others, please provide job title and description",
LSM1101,"Communications, New Media and Society",Financial and Insurance,,"Others, please provide job title and description",
PR2105,FINANCIAL MANAGEMENT,Financial and Insurance,,"Others, please provide job title and description",
PR4104,Dynamics of Interpersonal Effectiveness,Financial and Insurance,,"Others, please provide job title and description",
MA1102R,Southeast Asia: A Changing Region,Financial and Insurance,,"Others, please provide job title and description",
PC1327,IS Innovations in Organisations and Society,Financial and Insurance,,Non Applicable based on skip pattern,
DSC2008,Natural Heritage of Singapore,Financial and Insurance,,Non Applicable based on skip pattern,
MA4199,English For Academic Purposes (Science),Financial and Insurance,,Non Applicable based on skip pattern,
CS1010,Developmental Psychology,Financial and Insurance,,Non Applicable based on skip pattern,
SN1101E,Government and Politics of Singapore,Financial and Insurance,,Non Applicable based on skip pattern,
CM1101,Process Synthesis and Simulation,Financial and Insurance,,Non Applicable based on skip pattern,
MA1505,Quantitative Reasoning,Financial and Insurance,,Non Applicable based on skip pattern,
EC1301,Financial Accounting,Financial and Insurance,,Non Applicable based on skip pattern,SOCIAL WORKER
MA1104,Numerical Analysis I,Financial and Insurance,,Non Applicable based on skip pattern,SOCIAL WORKER
FIN3103A,Pharmacology,Financial and Insurance,,Non Applicable based on skip pattern,SOCIAL WORKER
LAJ3201,Community Health Posting,Financial and Insurance,,Non Applicable based on skip pattern,SOCIAL WORKER
SP1541,Graduate English Course (Advanced Level),Financial and Insurance,,Non Applicable based on skip pattern,SOCIAL WORKER
PS1101E,StepUp Module (A Career Development Programme),Financial and Insurance,,Non Applicable based on skip pattern,SOCIAL WORKER
GEK1006,Pro Bono Service,Financial and Insurance,,Non Applicable based on skip pattern,SOCIAL WORKER
DP1001,Mathematics I,Financial and Insurance,,"Others, please provide job title and description",ASSOCIATE
PL3234,Industrial Attachment Programme,Financial and Insurance,,"Others, please provide job title and description",ASSOCIATE
BSP2005,Introduction to Statistics,Financial and Insurance,,"Others, please provide job title and description",ASSOCIATE
NM2201,Korean 1,Financial and Insurance,,"Others, please provide job title and description",ASSOCIATE
EE1002,Theory Of Urban Design & Planning,Financial and Insurance,,"Others, please provide job title and description",ASSOCIATE
ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,Financial and Insurance,,"Others, please provide job title and description",ASSOCIATE
CN3135,Simulation,Financial and Insurance,,"Others, please provide job title and description",ASSOCIATE
EG1109,Computer Organisation,Financial and Insurance,,"Others, please provide job title and description",
EC2102,Understanding the Universe,Financial and Insurance,,"Others, please provide job title and description",
NUR1114,The Mathematics of Games,Financial and Insurance,,"Others, please provide job title and description",
EC3333,Mechanics Of Materials I,Financial and Insurance,,"Others, please provide job title and description",
ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,Financial and Insurance,,"Others, please provide job title and description",
ES2331,Honours Project in Life Sciences,Financial and Insurance,,"Others, please provide job title and description",
GER1000,Programming Methodology,Financial and Insurance,,"Others, please provide job title and description",
EC3322,Chemical Engineering Process Laboratory I,Financial and Insurance,,"Financial Analyst (e.g. equities analyst, credit analyst)",
NM3217,Infrastructure & The Environment,Financial and Insurance,,"Financial Analyst (e.g. equities analyst, credit analyst)",
LSM1301,Introduction to Psychology,Financial and Insurance,,"Financial Analyst (e.g. equities analyst, credit analyst)",
GEK1519,Multivariable Calculus,Financial and Insurance,,"Financial Analyst (e.g. equities analyst, credit analyst)",
PC1222,Macroeconomic Analysis II,Financial and Insurance,,"Financial Analyst (e.g. equities analyst, credit analyst)",
CFG1010,Engineering Professionalism,Financial and Insurance,,"Financial Analyst (e.g. equities analyst, credit analyst)",
DSC2008,Natural Heritage of Singapore,Financial and Insurance,,"Financial Analyst (e.g. equities analyst, credit analyst)",
MD1140,Bridging East and West: Exploring Chinese Communication,Financial and Insurance,,Non Applicable based on skip pattern,
EG2401,Principles of Economics,Financial and Insurance,,Non Applicable based on skip pattern,
PC1431,NUS Data Protection & PDPA Guidelines,Financial and Insurance,,Non Applicable based on skip pattern,
EE1001,Environmental Economics,Financial and Insurance,,Non Applicable based on skip pattern,
PC1432,Japanese 1,Financial and Insurance,,Non Applicable based on skip pattern,
MA1512,Electronic Devices,Financial and Insurance,,Non Applicable based on skip pattern,
NM2201,Korean 1,Financial and Insurance,,Non Applicable based on skip pattern,
EC3371,English For Academic Purposes (Engg),Financial and Insurance,,"Others, please provide job title and description",
CG2271,Evidence (A),Financial and Insurance,,"Others, please provide job title and description",
IE2101,Water and the Environment,Financial and Insurance,,"Others, please provide job title and description",
CFG1001,Einstein's Universe & Quantum Weirdness,Financial and Insurance,,"Others, please provide job title and description",
GEK1046,Singapore's Foreign Policy,Financial and Insurance,,"Others, please provide job title and description",
ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,Financial and Insurance,,"Others, please provide job title and description",
MA1101R,Making Sense of Society,Financial and Insurance,,"Others, please provide job title and description",
ACC1002,B.Eng. Dissertation,Financial and Insurance,,Mechanical Engineer,
ME2151,Probability and Statistics,Financial and Insurance,,Mechanical Engineer,
PL3235,Quantitative Methods for Economic Analysis,Financial and Insurance,,Mechanical Engineer,
EG1413,Introduction to Operating Systems,Financial and Insurance,,Mechanical Engineer,
CS1010E,Principles of Marketing,Financial and Insurance,,Mechanical Engineer,
CM2111,Vacation Internship Programme,Financial and Insurance,,Mechanical Engineer,
PL2131,Molecular Genetics,Financial and Insurance,,Mechanical Engineer,
JS1101E,Software Engineering,F&B,,Registered Nurse,
EC2102,Understanding the Universe,F&B,,Registered Nurse,
GER1000,Programming Methodology,F&B,,Registered Nurse,
ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,F&B,,Registered Nurse,
ME2134,Engineering Thermodynamics,F&B,,Registered Nurse,
CM2102,Basic Pharmacology,F&B,,Registered Nurse,
LSM1401,Data Structures and Algorithms I,F&B,,Registered Nurse,
CS3241,Digital Design,Healthcare,,Non Applicable based on skip pattern,SOCIAL WORKER
CN2125,Microbiology,Healthcare,,Non Applicable based on skip pattern,SOCIAL WORKER
LSM3223,Entrepreneurship,Healthcare,,Non Applicable based on skip pattern,SOCIAL WORKER
IS2102,Anthropology and the Human Condition,Healthcare,,Non Applicable based on skip pattern,SOCIAL WORKER
CS1010E,Principles of Marketing,Healthcare,,Non Applicable based on skip pattern,SOCIAL WORKER
AR5321,Experiments in Chemistry 2,Healthcare,,Non Applicable based on skip pattern,SOCIAL WORKER
ME2142,Fundamentals of Physics II,Healthcare,,Non Applicable based on skip pattern,SOCIAL WORKER
ST1232,Microeconomic Analysis I,Healthcare,,Non Applicable based on skip pattern,SOCIAL WORKER
GER1000,Programming Methodology,Healthcare,,"Others, please provide job title and description",
CS2102,Mechanics Of Machines,Healthcare,,"Others, please provide job title and description",
RE1103,Chinese Heritage: History and Literature,Healthcare,,"Others, please provide job title and description",
CE2184,Engineering Economy,Healthcare,,"Others, please provide job title and description",
SW1101E,Macro And International Economics,Healthcare,,"Others, please provide job title and description",
MA1521,Intermediate Fluid Mechanics,Healthcare,,"Others, please provide job title and description",
GEK1521,Professional Communication,Healthcare,,"Others, please provide job title and description",
FSP4003,Medicine,Healthcare,,"Others, please provide job title and description",
CS1101C,Business Communication for Leaders (BBA),Healthcare,,Non Applicable based on skip pattern,
EG1108,Linear Algebra I,Healthcare,,Non Applicable based on skip pattern,
TE2101,Fundamentals of Project Management,Healthcare,,Non Applicable based on skip pattern,
LAC2201,Reading Visual Images,Healthcare,,Non Applicable based on skip pattern,
ACC1002X,Roots and Wings - Personal and Interpersonal Effectiveness 1.0,Healthcare,,Non Applicable based on skip pattern,
LSM3223,Entrepreneurship,Healthcare,,Non Applicable based on skip pattern,
MA1101R,Making Sense of Society,Healthcare,,Non Applicable based on skip pattern,
PR3104,Principles Of Medicinal Chemistry,Healthcare,,Non Applicable based on skip pattern,
CN3132,Introduction to Programming with Matlab,Healthcare,,"Others, please provide job title and description",HOUSE OFFICER
PC1142,Pharmacology 1,Healthcare,,"Others, please provide job title and description",HOUSE OFFICER
LC1003,Organic Chemistry for Engineers,Healthcare,,"Others, please provide job title and description",HOUSE OFFICER
CM1501,Critical Thinking And Writing,Healthcare,,"Others, please provide job title and description",HOUSE OFFICER
MNO1001,Finance,Healthcare,,"Others, please provide job title and description",HOUSE OFFICER
GEK1505,Introductory Materials Science And Engineering,Healthcare,,"Others, please provide job title and description",HOUSE OFFICER
GE2218,Architectural Construction,Healthcare,,"Others, please provide job title and description",HOUSE OFFICER
CN2122,Chemical Engineering Principles,Healthcare,,"Others, please provide job title and description",HOUSE OFFICER
ST2131,Cell Biology,Healthcare,,"Others, please provide job title and description",
MA1505,Quantitative Reasoning,Healthcare,,"Others, please provide job title and description",
GES1028,Introduction to Electricity & Magnetism,Healthcare,,"Others, please provide job title and description",
ME4101,Project,Healthcare,,"Others, please provide job title and description",
NM2219,Devices and Circuits,Healthcare,,"Others, please provide job title and description",
CS1020,English for Academic Purposes,Healthcare,,"Others, please provide job title and description",
EC2104,Chemistry for Life Sciences,Healthcare,,"Others, please provide job title and description",
MA2216,Everyday Life of Chinese Singaporeans: Past & Present (taught in English),Healthcare,,"Others, please provide job title and description",
CL1101E,Separation Processes,Healthcare,,Management Executive,
ES1601,Engineering Visualization & Modeling,Healthcare,,Management Executive,
GEK1505,Introductory Materials Science And Engineering,Healthcare,,Management Executive,
EC3101,Statistics for Life Sciences,Healthcare,,Management Executive,
CFG1010,Engineering Professionalism,Healthcare,,Management Executive,
EC1101E,Changing Landscapes of Singapore,Healthcare,,Management Executive,
DP1001,Mathematics I,Healthcare,,Management Executive,
LAK1201,Engineering Mathematics I,Healthcare,,Management Executive,
BN2201,Introduction to International Relations,Healthcare,,"Others, please provide job title and description",
GER1000,Programming Methodology,Healthcare,,"Others, please provide job title and description",
MA1101R,Making Sense of Society,Healthcare,,"Others, please provide job title and description",
HY1101E,Microeconomic Analysis II,Healthcare,,"Others, please provide job title and description",
GEK1505,Introductory Materials Science And Engineering,Healthcare,,"Others, please provide job title and description",
IS2102,Anthropology and the Human Condition,Healthcare,,"Others, please provide job title and description",
EC2102,Understanding the Universe,Healthcare,,"Others, please provide job title and description",
PC1432,Japanese 1,Healthcare,,"Others, please provide job title and description",
TG3001,Engineering Principles and Practice I,Healthcare,,"Others, please provide job title and description",
EL1101E,General Biology,Healthcare,,"Others, please provide job title and description",
ME3122,Sensors & Actuators,Healthcare,,"Others, please provide job title and description",
CE3115,Introduction To Biomaterials,Healthcare,,"Others, please provide job title and description",
ME2151,Probability and Statistics,Healthcare,,"Others, please provide job title and description",
CN4122,Industrial Organisation I,Healthcare,,"Others, please provide job title and description",
LAM1201,Human Development over the Lifespan,Healthcare,,"Others, please provide job title and description",
CM1401,Business Analytics - Data & Decisions,Healthcare,,"Others, please provide job title and description",
IS2102,Anthropology and the Human Condition,Healthcare,,Non Applicable based on skip pattern,
PA1113,History & Theory Of Modern Architecture,Healthcare,,Non Applicable based on skip pattern,
PR4106,Cities in Transition,Healthcare,,Non Applicable based on skip pattern,
EC3303,Bahasa Indonesia 1,Healthcare,,Non Applicable based on skip pattern,
CM2121,Analytical Chemistry 1,Healthcare,,Non Applicable based on skip pattern,
SN1101E,Government and Politics of Singapore,Healthcare,,Non Applicable based on skip pattern,
ST2334,Foundations for Econometrics,Healthcare,,Non Applicable based on skip pattern,
SSA2209,B.Tech. Dissertation,Healthcare,,Non Applicable based on skip pattern,
CE2184,Engineering Economy,Healthcare,,Non Applicable based on skip pattern,
GES1003,Complex Analysis I,Healthcare,,Non Applicable based on skip pattern,
CS2106,Econometrics I,Healthcare,,Non Applicable based on skip pattern,
PR2202,Construction Project Management,Healthcare,,Non Applicable based on skip pattern,
LSM1301,Introduction to Psychology,Healthcare,,Non Applicable based on skip pattern,
GEK1022,Pharmacology 2,Healthcare,,Non Applicable based on skip pattern,
BSP1005,Physics IIE,Healthcare,,Non Applicable based on skip pattern,
CM1101,Process Synthesis and Simulation,Healthcare,,Non Applicable based on skip pattern,
EC3351,FINANCIAL ACCOUNTING,Healthcare,,Research Officer (Non-Statistical),
EE2009,Ecology and Environment,Healthcare,,Research Officer (Non-Statistical),
LSM1102,Discrete Structures,Healthcare,,Research Officer (Non-Statistical),
MA1506,Mathematics II,Healthcare,,Research Officer (Non-Statistical),
EC3351,FINANCIAL ACCOUNTING,Healthcare,,Research Officer (Non-Statistical),
LSM1302,BTech Dissertation,Healthcare,,Research Officer (Non-Statistical),
LSM1106,Normal Structure and Function,Healthcare,,Research Officer (Non-Statistical),
ACC1002,B.Eng. Dissertation,Healthcare,,Research Officer (Non-Statistical),
ME3122,Sensors & Actuators,Healthcare,,Electrical Engineer,
CE2407,Global Environmental Issues,Healthcare,,Electrical Engineer,
PC2232,Circuit and Systems Design Lab,Healthcare,,Electrical Engineer,
HY1101E,Microeconomic Analysis II,Healthcare,,Electrical Engineer,
GEH1049,Strategic Management,Healthcare,,Electrical Engineer,
TG2415,Principles of Communication Management,Healthcare,,Electrical Engineer,
LAK1201,Engineering Mathematics I,Healthcare,,Electrical Engineer,
DP1001,Mathematics I,Healthcare,,"Others, please provide job title and description",
ME2135,Digital Fundamentals,Healthcare,,"Others, please provide job title and description",
CFG1010,Engineering Professionalism,Healthcare,,"Others, please provide job title and description",
GEK1527,Legal Environment Of Business,Healthcare,,"Others, please provide job title and description",
CE2409,Electronics,Healthcare,,"Others, please provide job title and description",
PL3233,Fundamentals Of Mechanical Design,Healthcare,,"Others, please provide job title and description",
EC3332,An Introduction to Literary Studies,Healthcare,,"Others, please provide job title and description",
PC1432,Japanese 1,Healthcare,,"Others, please provide job title and description",
MA1521,Intermediate Fluid Mechanics,Healthcare,,"Others, please provide job title and description",
EE1003,Complementary Medicine and Health,Healthcare,,"Others, please provide job title and description",
ME2142,Fundamentals of Physics II,Healthcare,,"Others, please provide job title and description",
LSM3214,Singapore and Japan: Historical and Contemporary Relationships,Healthcare,,"Others, please provide job title and description",
LC1006,Fundamentals of Nursing,Healthcare,,"Others, please provide job title and description",
ME2134,Engineering Thermodynamics,Healthcare,,"Others, please provide job title and description",
IE2130E,Systems & Control,Healthcare,,Police Officers,
LSM1104,Feedback Control Systems,Healthcare,,Police Officers,
CN2122,Chemical Engineering Principles,Healthcare,,Police Officers,
EG2401,Principles of Economics,Healthcare,,Police Officers,
CS1010E,Principles of Marketing,Healthcare,,Police Officers,
PL3236,French 1,Healthcare,,Police Officers,
MNO1001,Finance,Healthcare,,Police Officers,
CL1101E,Separation Processes,Healthcare,,"Others, please provide job title and description",
SSA2204,Fundamentals of Biochemistry,Healthcare,,"Others, please provide job title and description",
PR2202,Construction Project Management,Healthcare,,"Others, please provide job title and description",
LSM2102,Biodiversity,Healthcare,,"Others, please provide job title and description",
PS1101E,StepUp Module (A Career Development Programme),Healthcare,,"Others, please provide job title and description",
PR3102,Understanding and Critiquing Sustainability,Healthcare,,"Others, please provide job title and description",
EL1101E,General Biology,Healthcare,,"Others, please provide job title and description",
LC1004,Asia and the Modern World,Healthcare,,"Others, please provide job title and description",
EU1101E,Mechanical Systems Design I,Healthcare,,"Others, please provide job title and description",
LSM1104,Feedback Control Systems,Healthcare,,"Others, please provide job title and description",
CE2407,Global Environmental Issues,Healthcare,,"Others, please provide job title and description",
MLE1101,Human Capital in Organizations,Healthcare,,"Others, please provide job title and description",
ME2103,Pharmacy Practice III,Healthcare,,"Others, please provide job title and description",
GEK1527,Legal Environment Of Business,Healthcare,,"Others, please provide job title and description",
PL1101E,Electrical Engineering,Healthcare,,"Others, please provide job title and description",SOCIAL WORKER
GEK1001,Cognitive Psychology,Healthcare,,"Others, please provide job title and description",SOCIAL WORKER
MA1506,Mathematics II,Healthcare,,"Others, please provide job title and description",SOCIAL WORKER
MDG5771,Logic,Healthcare,,"Others, please provide job title and description",SOCIAL WORKER
MDG5771,Logic,Healthcare,,"Others, please provide job title and description",SOCIAL WORKER
EL1101E,General Biology,Healthcare,,"Others, please provide job title and description",SOCIAL WORKER
ME3101,Linear Algebra II,Healthcare,,"Others, please provide job title and description",SOCIAL WORKER
ST3236,Research Methodology & Ethics,Healthcare,,Advocate/ Solicitor,
SSS1207,Physics in the Life Sciences,Healthcare,,Advocate/ Solicitor,
ME3122,Sensors & Actuators,Healthcare,,Advocate/ Solicitor,
MA1511,Differential Equations for Engineering,Healthcare,,Advocate/ Solicitor,
SC1101E,Physics IE,Healthcare,,Advocate/ Solicitor,
SSA2215,Data Structures and Algorithms II,Healthcare,,Advocate/ Solicitor,
PC2232,Circuit and Systems Design Lab,Healthcare,,Advocate/ Solicitor,
DP1001,Mathematics I,Healthcare,,Appraiser/ Valuer,ANALYST
EC3333,Mechanics Of Materials I,Healthcare,,Appraiser/ Valuer,ANALYST
ME2112,Clean Energy and Storage,Healthcare,,Appraiser/ Valuer,ANALYST
CN1111,Physical Chemistry 1,Healthcare,,Appraiser/ Valuer,ANALYST
GE1101E,General Physiology,Healthcare,,Appraiser/ Valuer,ANALYST
PS1101E,StepUp Module (A Career Development Programme),Healthcare,,Appraiser/ Valuer,ANALYST
GER1000,Programming Methodology,Healthcare,,Appraiser/ Valuer,ANALYST
EG3602,Retelling Chinese Stories: Change and Continuity,Healthcare,,"Others, please provide job title and description",
NM2103,Gender Studies,Healthcare,,"Others, please provide job title and description",
EC3102,Manufacturing Processes,Healthcare,,"Others, please provide job title and description",
ST1232,Microeconomic Analysis I,Healthcare,,"Others, please provide job title and description",
EE1001,Environmental Economics,Healthcare,,"Others, please provide job title and description",
EC2104,Chemistry for Life Sciences,Healthcare,,"Others, please provide job title and description",
PC1325,Social Thought & Social Theory,Healthcare,,"Others, please provide job title and description",
CM3212,Soil Mechanics,Healthcare,,"Others, please provide job title and description",
BMA5003,Comprehensive Health Assessment,Healthcare,,"Others, please provide job title and description",
MNO2007,Design and Analysis of Algorithms,Healthcare,,"Others, please provide job title and description",
CS2100,The Evolution of a Global City-State,Healthcare,,"Others, please provide job title and description",
DSC2006,Managerial Economics,Healthcare,,"Others, please provide job title and description",
MA1506,Mathematics II,Healthcare,,"Others, please provide job title and description",
LC2004,Accounting Information Systems,Healthcare,,"Others, please provide job title and description",
RE2104,"Leisure, Recreation and Tourism",Healthcare,,Non Applicable based on skip pattern,
MA3111,Signals & Communications Design Lab,Healthcare,,Non Applicable based on skip pattern,
LAK2201,Human Factors Engineering,Healthcare,,Non Applicable based on skip pattern,
IE2140,Calculus with Applications,Healthcare,,Non Applicable based on skip pattern,
LSM2191,Japanese 4,Healthcare,,Non Applicable based on skip pattern,
EN1101E,Theories of Communications and New Media,Healthcare,,Non Applicable based on skip pattern,
CS1010E,Principles of Marketing,Healthcare,,Non Applicable based on skip pattern,
CS2106,Econometrics I,Healthcare,,"Others, please provide job title and description",
CE3121,Human Anatomy,Healthcare,,"Others, please provide job title and description",
LSM4199,Fluid-Solid Systems,Healthcare,,"Others, please provide job title and description",
PR2202,Construction Project Management,Healthcare,,"Others, please provide job title and description",
EE2020,Business Analytics - Models & Decisions,Healthcare,,"Others, please provide job title and description",
CE3116,Physicochemical Principles of Drug Action,Healthcare,,"Others, please provide job title and description",
CM1501,Critical Thinking And Writing,Healthcare,,"Others, please provide job title and description",
SSA1201,Macroeconomic Analysis I,Healthcare,,"Others, please provide job title and description",
ME2151,Probability and Statistics,Healthcare,,"Others, please provide job title and description",
DP1001,Mathematics I,Healthcare,,"Others, please provide job title and description",
MA1505,Quantitative Reasoning,Healthcare,,"Others, please provide job title and description",
AY1130,Fundamental Techniques in Microbiology,Healthcare,,"Others, please provide job title and description",
EC3304,Biological Psychology,Healthcare,,"Others, please provide job title and description",
ES5001A,Reporting Statistics in the Media,Healthcare,,"Others, please provide job title and description",
MD3140,Urban Land Use & Development,Healthcare,,"Others, please provide job title and description",TEACHER
PC1432,Japanese 1,Healthcare,,"Others, please provide job title and description",TEACHER
PC1144,Engineering Mathematics II,Healthcare,,"Others, please provide job title and description",TEACHER
CN2116,Chinese 1,Healthcare,,"Others, please provide job title and description",TEACHER
AR2723,Structural Mechanics and Materials,Healthcare,,"Others, please provide job title and description",TEACHER
PS1101E,StepUp Module (A Career Development Programme),Healthcare,,"Others, please provide job title and description",TEACHER
EC2101,The Nature of Language,Healthcare,,"Others, please provide job title and description",TEACHER
NM2201,Korean 1,Healthcare,,Human Resource Associate Professionals,
EG2401,Principles of Economics,Healthcare,,Human Resource Associate Professionals,
MA3220,Introduction to Information Security,Healthcare,,Human Resource Associate Professionals,
GEK1505,Introductory Materials Science And Engineering,Healthcare,,Human Resource Associate Professionals,
LAT1201,Investment Analysis and Portfolio Management,Healthcare,,Human Resource Associate Professionals,
CS1020E,Constitutional & Administrative Law,Healthcare,,Human Resource Associate Professionals,
PA1113,History & Theory Of Modern Architecture,Healthcare,,Human Resource Associate Professionals,
LSM2241,Advanced Experiments In Analytical & Physical Chemistry,Healthcare,,"Others, please provide job title and description",
EG2401,Principles of Economics,Healthcare,,"Others, please provide job title and description",
TR2201,REAL ESTATE ECONOMICS,Healthcare,,"Others, please provide job title and description",
GEK1521,Professional Communication,Healthcare,,"Others, please provide job title and description",
PH1102E,"Legal Analysis, Research & Communication",Healthcare,,"Others, please provide job title and description",
MA1505,Quantitative Reasoning,Healthcare,,"Others, please provide job title and description",
BSP1005,Physics IIE,Healthcare,,"Others, please provide job title and description",
EE2009,Ecology and Environment,Healthcare,,Non Applicable based on skip pattern,
CFG1001,Einstein's Universe & Quantum Weirdness,Healthcare,,Non Applicable based on skip pattern,
LAJ2201,Managerial Accounting,Healthcare,,Non Applicable based on skip pattern,
ST1232,Microeconomic Analysis I,Healthcare,,Non Applicable based on skip pattern,
DP1001,Mathematics I,Healthcare,,Non Applicable based on skip pattern,
EL1101E,General Biology,Healthcare,,Non Applicable based on skip pattern,
EC3101,Statistics for Life Sciences,Healthcare,,Non Applicable based on skip pattern,
MNO1001,Finance,Healthcare,,"Others, please provide job title and description",
SC2218,Maternal and Child Health Nursing,Healthcare,,"Others, please provide job title and description",
CS1102,Mechanical Systems Design,Healthcare,,"Others, please provide job title and description",
MA1104,Numerical Analysis I,Healthcare,,"Others, please provide job title and description",
FAS1102,Introduction to Computing,Healthcare,,"Others, please provide job title and description",
MLE1101,Human Capital in Organizations,Healthcare,,"Others, please provide job title and description",
MA1505,Quantitative Reasoning,Healthcare,,"Others, please provide job title and description",
GEM2901,Heat Transfer,Healthcare,,"Others, please provide job title and description",BUSINESS ANALYST
LSM3223,Entrepreneurship,Healthcare,,"Others, please provide job title and description",BUSINESS ANALYST
MA1301,Molecular Biology,Healthcare,,"Others, please provide job title and description",BUSINESS ANALYST
ME3122,Sensors & Actuators,Healthcare,,"Others, please provide job title and description",BUSINESS ANALYST
CS2107,Experimental Molecular and Cell Biology,Healthcare,,"Others, please provide job title and description",BUSINESS ANALYST
ST1232,Microeconomic Analysis I,Healthcare,,"Others, please provide job title and description",BUSINESS ANALYST
GE2228,Labour Law In Singapore,Healthcare,,"Others, please provide job title and description",BUSINESS ANALYST
GES1003,Complex Analysis I,Industrial design activities,,Advocate/ Solicitor,
